study_name,dataset_name,variable_name,question_name,instrument_name
soep-core,dpequiv,iprv287,28,soep-core-1992-pe
soep-core,dpequiv,iprvp87,87,soep-core-1992-pe
soep-core,dpequiv,opery87,87,soep-core-1998-pe
soep-core,ehgen,fheat88,88,soep-core-1989-hh
soep-core,ehgen,fhinc88,88,soep-core-1989-hh
soep-core,epequiv,chspt88,88,soep-core-1986-hh
soep-core,epequiv,fholy88,88,soep-core-1989-hh
soep-core,epequiv,fhsup88,88,soep-core-1989-hh
soep-core,epequiv,fprvp88,88,soep-core-1989-pe
soep-core,epequiv,iholy88,88,soep-core-1992-hh
soep-core,epequiv,iprv188,18,soep-core-1992-pe
soep-core,epequiv,iprv288,28,soep-core-1992-pe
soep-core,epequiv,iprvp88,88,soep-core-1992-pe
soep-core,epequiv,opery88,88,soep-core-1998-pe
soep-core,fhgen,fheat89,89,soep-core-1989-hh
soep-core,fhgen,fhinc89,89,soep-core-1989-hh
soep-core,fpequiv,chspt89,89,soep-core-1986-hh
soep-core,fpequiv,fholy89,89,soep-core-1989-hh
soep-core,fpequiv,fhsup89,89,soep-core-1989-hh
soep-core,fpequiv,fprvp89,89,soep-core-1989-pe
soep-core,fpequiv,iholy89,89,soep-core-1992-hh
soep-core,fpequiv,iprv189,18,soep-core-1992-pe
soep-core,fpequiv,iprv289,28,soep-core-1992-pe
soep-core,fpequiv,iprvp89,89,soep-core-1992-pe
soep-core,fpequiv,opery89,89,soep-core-1998-pe
soep-core,ghgen,fheat90,90,soep-core-1989-hh
soep-core,ghgen,fhinc90,90,soep-core-1989-hh
soep-core,gpequiv,chspt90,90,soep-core-1986-hh
soep-core,gpequiv,fholy90,90,soep-core-1989-hh
soep-core,gpequiv,fhsup90,90,soep-core-1989-hh
soep-core,gpequiv,fprvp90,90,soep-core-1989-pe
soep-core,gpequiv,iholy90,90,soep-core-1992-hh
soep-core,gpequiv,iprv190,19,soep-core-1992-pe
soep-core,gpequiv,iprv290,29,soep-core-1992-pe
soep-core,gpequiv,iprvp90,90,soep-core-1992-pe
soep-core,gpequiv,opery90,90,soep-core-1998-pe
soep-core,hhgen,fheat91,91,soep-core-1989-hh
soep-core,hhgen,fhinc91,91,soep-core-1989-hh
soep-core,hpequiv,chspt91,91,soep-core-1986-hh
soep-core,hpequiv,fholy91,91,soep-core-1989-hh
soep-core,hpequiv,fhsup91,91,soep-core-1989-hh
soep-core,hpequiv,fprvp91,91,soep-core-1989-pe
soep-core,hpequiv,iholy91,91,soep-core-1992-hh
soep-core,hpequiv,iprv191,19,soep-core-1992-pe
soep-core,hpequiv,iprv291,29,soep-core-1992-pe
soep-core,hpequiv,iprvp91,91,soep-core-1992-pe
soep-core,hpequiv,opery91,91,soep-core-1998-pe
soep-core,ihgen,fheat92,92,soep-core-1989-hh
soep-core,ihgen,fhinc92,92,soep-core-1989-hh
soep-core,ipequiv,chspt92,92,soep-core-1986-hh
soep-core,ipequiv,fholy92,92,soep-core-1989-hh
soep-core,ipequiv,fhsup92,92,soep-core-1989-hh
soep-core,ipequiv,fprvp92,92,soep-core-1989-pe
soep-core,ipequiv,iholy92,92,soep-core-1992-hh
soep-core,ipequiv,iprv192,19,soep-core-1992-pe
soep-core,ipequiv,iprv292,29,soep-core-1992-pe
soep-core,ipequiv,iprvp92,92,soep-core-1992-pe
